epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,709.357,1.26285,0.94963,1.53295,0.88321,0.91739,0.92886,0.47983,1.64246,0.7917,1.76531,0.000859389,0.000859389,0.000859389
125,714.836,1.25162,0.97369,1.55898,0.88801,0.88646,0.91996,0.4504,1.7405,0.80512,1.83024,0.00085721,0.00085721,0.00085721
126,720.451,1.27612,0.95723,1.57967,0.89528,0.90718,0.92173,0.49147,1.60417,0.79078,1.7105,0.000855018,0.000855018,0.000855018
127,725.911,1.25362,0.95544,1.56633,0.89446,0.90175,0.91684,0.4468,1.73921,0.82655,1.81532,0.000852812,0.000852812,0.000852812
128,731.383,1.26336,0.96476,1.54803,0.88998,0.87178,0.92831,0.45596,1.72372,0.85606,1.78291,0.000850592,0.000850592,0.000850592
129,736.851,1.29195,0.99461,1.55983,0.91822,0.91275,0.95051,0.52373,1.51701,0.76841,1.62984,0.000848358,0.000848358,0.000848358
130,742.356,1.25629,0.98885,1.56766,0.88895,0.8933,0.90919,0.44109,1.77401,0.8317,1.85159,0.000846111,0.000846111,0.000846111
131,747.833,1.27922,0.9786,1.56126,0.91836,0.91371,0.94253,0.50883,1.53789,0.77552,1.66003,0.000843851,0.000843851,0.000843851
132,753.322,1.26143,0.97588,1.54956,0.92401,0.90866,0.9442,0.50879,1.54046,0.75032,1.65177,0.000841577,0.000841577,0.000841577
133,758.789,1.26322,0.95716,1.54475,0.90821,0.90519,0.93712,0.48951,1.58378,0.77471,1.69654,0.00083929,0.00083929,0.00083929
134,764.287,1.21442,0.91334,1.50634,0.91986,0.92002,0.95728,0.53864,1.45316,0.74262,1.62305,0.000836989,0.000836989,0.000836989
135,769.802,1.25419,0.9034,1.52499,0.93132,0.92737,0.96198,0.53557,1.48769,0.73313,1.62679,0.000834676,0.000834676,0.000834676
136,775.277,1.19519,0.87446,1.50194,0.9079,0.92976,0.95505,0.5331,1.49053,0.73444,1.63982,0.000832349,0.000832349,0.000832349
137,780.736,1.23757,0.92247,1.51256,0.9162,0.93831,0.95496,0.52447,1.51347,0.73404,1.66245,0.00083001,0.00083001,0.00083001
138,786.336,1.17036,0.84581,1.50159,0.92667,0.9415,0.95966,0.54846,1.43823,0.71592,1.5886,0.000827658,0.000827658,0.000827658
139,791.849,1.20668,0.93186,1.51134,0.91677,0.91124,0.93506,0.51406,1.48277,0.72212,1.63964,0.000825293,0.000825293,0.000825293
140,797.329,1.24041,0.89273,1.51754,0.93047,0.90325,0.9473,0.5358,1.4262,0.74517,1.58925,0.000822915,0.000822915,0.000822915
141,802.781,1.24931,0.92197,1.52621,0.94118,0.93868,0.95597,0.50269,1.60318,0.71292,1.69193,0.000820525,0.000820525,0.000820525
142,808.285,1.28971,0.94616,1.54781,0.9422,0.9389,0.96189,0.54079,1.47992,0.70548,1.6031,0.000818122,0.000818122,0.000818122
143,813.756,1.25183,0.92424,1.54321,0.93706,0.94558,0.96439,0.50984,1.59,0.7351,1.70903,0.000815707,0.000815707,0.000815707
144,819.208,1.18824,0.85129,1.48799,0.92808,0.95116,0.95837,0.50254,1.62729,0.73293,1.73469,0.00081328,0.00081328,0.00081328
145,824.693,1.19297,0.8583,1.49224,0.92265,0.94215,0.96114,0.53884,1.47974,0.70349,1.61147,0.000810841,0.000810841,0.000810841
146,830.161,1.17891,0.87241,1.49166,0.89075,0.93334,0.95075,0.48853,1.61934,0.75227,1.72441,0.000808389,0.000808389,0.000808389
147,835.661,1.24027,0.91902,1.52447,0.91182,0.91824,0.95417,0.54404,1.40143,0.71693,1.56845,0.000805925,0.000805925,0.000805925
148,841.122,1.21807,0.87122,1.4922,0.90286,0.95008,0.9579,0.52905,1.46013,0.72504,1.59942,0.00080345,0.00080345,0.00080345
149,846.714,1.18907,0.87812,1.46647,0.92693,0.92815,0.95951,0.5482,1.44104,0.72246,1.58707,0.000800963,0.000800963,0.000800963
150,852.172,1.15649,0.82453,1.44097,0.9374,0.93056,0.96421,0.54636,1.45837,0.7023,1.59339,0.000798464,0.000798464,0.000798464
151,857.65,1.2143,0.88385,1.52716,0.94669,0.92656,0.9619,0.54011,1.50802,0.71185,1.61533,0.000795954,0.000795954,0.000795954
152,863.114,1.21495,0.88646,1.50228,0.93658,0.95046,0.97175,0.57859,1.3711,0.6668,1.54498,0.000793432,0.000793432,0.000793432
153,868.609,1.19468,0.85285,1.48862,0.94583,0.95188,0.97072,0.57061,1.39628,0.66505,1.54914,0.000790898,0.000790898,0.000790898
154,874.107,1.25125,0.90654,1.53553,0.96278,0.94786,0.9771,0.57838,1.36523,0.65541,1.54153,0.000788354,0.000788354,0.000788354
155,879.597,1.23479,0.9207,1.54008,0.95186,0.94586,0.96732,0.55254,1.44793,0.65459,1.60036,0.000785798,0.000785798,0.000785798
156,885.074,1.18984,0.87009,1.49323,0.94977,0.94107,0.96474,0.53849,1.48564,0.66824,1.62609,0.000783231,0.000783231,0.000783231
157,890.569,1.14241,0.85882,1.46039,0.94963,0.94721,0.96898,0.55049,1.45082,0.65426,1.58209,0.000780653,0.000780653,0.000780653
158,896.045,1.19489,0.83975,1.48243,0.94723,0.93404,0.96575,0.56022,1.42557,0.67447,1.549,0.000778065,0.000778065,0.000778065
159,901.548,1.15376,0.81138,1.44992,0.94078,0.93556,0.96667,0.5575,1.43684,0.68092,1.55945,0.000775465,0.000775465,0.000775465
160,907.012,1.162,0.83988,1.47589,0.94261,0.93887,0.96208,0.52873,1.53958,0.69059,1.6332,0.000772855,0.000772855,0.000772855
161,912.488,1.17776,0.78994,1.45084,0.94109,0.93689,0.95936,0.55447,1.41998,0.68014,1.57221,0.000770234,0.000770234,0.000770234
162,917.952,1.17968,0.86827,1.51453,0.94045,0.9454,0.96635,0.54919,1.4557,0.67611,1.5954,0.000767603,0.000767603,0.000767603
163,923.572,1.16969,0.83898,1.46629,0.92816,0.95062,0.96696,0.56534,1.39014,0.66538,1.53106,0.000764961,0.000764961,0.000764961
164,929.039,1.1807,0.87462,1.48389,0.91903,0.939,0.96053,0.548,1.41453,0.68269,1.56281,0.00076231,0.00076231,0.00076231
165,934.566,1.15069,0.80744,1.44004,0.93485,0.94881,0.96673,0.51938,1.52806,0.68185,1.65079,0.000759648,0.000759648,0.000759648
166,940.043,1.16234,0.83364,1.44026,0.9164,0.95989,0.96321,0.53421,1.48445,0.67879,1.61419,0.000756976,0.000756976,0.000756976
167,945.574,1.14856,0.84703,1.44445,0.91787,0.94944,0.97197,0.52527,1.52202,0.71865,1.64788,0.000754293,0.000754293,0.000754293
168,951.095,1.14299,0.83741,1.43722,0.90729,0.94635,0.9672,0.55123,1.42424,0.69133,1.56897,0.000751602,0.000751602,0.000751602
169,956.579,1.14085,0.83218,1.45375,0.91034,0.93762,0.95908,0.5559,1.38943,0.68157,1.5465,0.0007489,0.0007489,0.0007489
170,962.067,1.18631,0.84872,1.48144,0.9134,0.94541,0.96105,0.54162,1.44497,0.67661,1.58352,0.000746189,0.000746189,0.000746189
171,967.536,1.14133,0.8225,1.44366,0.91773,0.95241,0.96869,0.5631,1.40759,0.66691,1.54155,0.000743468,0.000743468,0.000743468
172,973.01,1.17808,0.80663,1.44679,0.90751,0.94145,0.95933,0.53482,1.46978,0.71068,1.6178,0.000740738,0.000740738,0.000740738
173,978.506,1.18063,0.89438,1.49634,0.89991,0.90861,0.93582,0.49535,1.57257,0.75111,1.70794,0.000737998,0.000737998,0.000737998
174,983.987,1.14821,0.82851,1.44124,0.92207,0.94692,0.96727,0.57015,1.36308,0.6691,1.51745,0.00073525,0.00073525,0.00073525
175,989.529,1.18145,0.83385,1.45648,0.90768,0.94056,0.95571,0.52124,1.52153,0.68657,1.64077,0.000732492,0.000732492,0.000732492
176,995.029,1.16719,0.86288,1.46085,0.90942,0.93577,0.95848,0.53491,1.47655,0.68866,1.63762,0.000729725,0.000729725,0.000729725
177,1000.57,1.19747,0.92296,1.50708,0.91552,0.9469,0.96441,0.57686,1.34328,0.67162,1.50951,0.00072695,0.00072695,0.00072695
178,1006.12,1.16393,0.80968,1.46934,0.93048,0.94189,0.95965,0.52502,1.5213,0.69194,1.62458,0.000724165,0.000724165,0.000724165
179,1011.6,1.12082,0.79469,1.4128,0.94046,0.94783,0.96952,0.5644,1.38865,0.66819,1.54421,0.000721372,0.000721372,0.000721372
